Adresse,Stimmart,Bezirknr,Bezirksname,Wahlbezirk,Wahlbezirksart,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,BerlinOstWest,Wahlberechtigte_insgesamt,Wahlberechtigte_A1,Wahlberechtigte_A2,Wahlberechtigte_A3,W�hler,W�hler_B1,Ung�ltige_Stimmen,Gueltige_Stimmen,SPD,CDU,GR�NE,DIE_LINKE,PIRATEN,NPD,FDP,Tierschutzpartei,pro_Deutschland,Die_PARTEI,BIG,DKP,�dp,PSG,B�So,B,DL,ALFA,Tierschutzallianz,AfD,DIE_EINHEIT,DIE_VIOLETTEN,Graue_Panther,MENSCHLICHE_WELT,MIETERPARTEI,Gesundheitsforschung,EB_Bahn,EB_Bayrak,EB_�etin,EB_Di_Leo,EB_Ditsche,EB_Fielsch,EB_Friedrich,EB_Gl�ser,EB_Heine,EB_Mandik,EB_�zi?ik,EB_Quednau,EB_Sandner,EB_?en,EB_Snelinski,EB_Steinf�hr,EB_Tanriverdi,EB_Tschammer-Osten
06B2F,Erststimme,6,Steglitz-Zehlendorf,2F,Briefwahlbezirk,2,79,W,0,0,0,0,723,723,5,718,226,163,138,40,14,0,52,0,10,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B2G,Erststimme,6,Steglitz-Zehlendorf,2G,Briefwahlbezirk,2,79,W,0,0,0,0,1057,1057,13,1044,294,293,179,47,17,0,107,0,4,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B2H,Erststimme,6,Steglitz-Zehlendorf,2H,Briefwahlbezirk,2,79,W,0,0,0,0,753,753,11,737,192,198,148,52,20,0,53,0,5,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B2I,Erststimme,6,Steglitz-Zehlendorf,2I,Briefwahlbezirk,2,79,W,0,0,0,0,795,795,2,790,237,218,128,43,21,0,58,0,7,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B3A,Erststimme,6,Steglitz-Zehlendorf,3A,Briefwahlbezirk,3,79,W,0,0,0,0,1051,1051,11,1040,222,364,194,49,12,0,112,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B3B,Erststimme,6,Steglitz-Zehlendorf,3B,Briefwahlbezirk,3,79,W,0,0,0,0,922,922,11,906,251,301,147,49,23,0,76,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B3C,Erststimme,6,Steglitz-Zehlendorf,3C,Briefwahlbezirk,3,79,W,0,0,0,0,898,898,10,885,185,321,160,45,11,0,80,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B3D,Erststimme,6,Steglitz-Zehlendorf,3D,Briefwahlbezirk,3,79,W,0,0,0,0,1067,1067,9,1055,261,386,169,60,11,0,92,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B3E,Erststimme,6,Steglitz-Zehlendorf,3E,Briefwahlbezirk,3,79,W,0,0,0,0,1049,1049,7,1039,236,378,148,44,13,0,106,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B3F,Erststimme,6,Steglitz-Zehlendorf,3F,Briefwahlbezirk,3,79,W,0,0,0,0,838,838,11,827,234,257,96,47,14,0,82,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B3G,Erststimme,6,Steglitz-Zehlendorf,3G,Briefwahlbezirk,3,79,W,0,0,0,0,1165,1165,18,1138,285,409,143,46,18,0,116,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B3H,Erststimme,6,Steglitz-Zehlendorf,3H,Briefwahlbezirk,3,79,W,0,0,0,0,982,982,9,972,200,410,100,32,12,0,130,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B3I,Erststimme,6,Steglitz-Zehlendorf,3I,Briefwahlbezirk,3,79,W,0,0,0,0,1153,1153,10,1141,255,442,182,37,4,0,124,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B4A,Erststimme,6,Steglitz-Zehlendorf,4A,Briefwahlbezirk,4,79,W,0,0,0,0,858,858,10,848,207,303,131,39,12,0,66,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B4B,Erststimme,6,Steglitz-Zehlendorf,4B,Briefwahlbezirk,4,79,W,0,0,0,0,927,927,21,902,194,329,140,51,9,0,95,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B4C,Erststimme,6,Steglitz-Zehlendorf,4C,Briefwahlbezirk,4,79,W,0,0,0,0,1005,1005,7,998,248,344,155,44,9,0,105,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B4D,Erststimme,6,Steglitz-Zehlendorf,4D,Briefwahlbezirk,4,79,W,0,0,0,0,785,785,13,770,192,270,101,38,12,0,67,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B4E,Erststimme,6,Steglitz-Zehlendorf,4E,Briefwahlbezirk,4,79,W,0,0,0,0,1044,1044,6,1037,241,385,146,31,11,0,128,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B4F,Erststimme,6,Steglitz-Zehlendorf,4F,Briefwahlbezirk,4,79,W,0,0,0,0,917,917,19,894,213,315,79,38,20,0,109,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B4G,Erststimme,6,Steglitz-Zehlendorf,4G,Briefwahlbezirk,4,79,W,0,0,0,0,903,903,19,881,213,313,96,34,16,0,77,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B4H,Erststimme,6,Steglitz-Zehlendorf,4H,Briefwahlbezirk,4,79,W,0,0,0,0,869,869,12,855,201,301,106,43,15,0,99,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B5A,Erststimme,6,Steglitz-Zehlendorf,5A,Briefwahlbezirk,5,79,W,0,0,0,0,837,837,8,828,208,302,99,40,25,0,82,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B5B,Erststimme,6,Steglitz-Zehlendorf,5B,Briefwahlbezirk,5,79,W,0,0,0,0,1018,1018,10,1006,235,365,114,48,17,0,115,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B5C,Erststimme,6,Steglitz-Zehlendorf,5C,Briefwahlbezirk,5,79,W,0,0,0,0,677,677,11,666,155,214,78,49,20,0,62,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B5D,Erststimme,6,Steglitz-Zehlendorf,5D,Briefwahlbezirk,5,79,W,0,0,0,0,884,884,9,867,197,334,94,40,24,0,78,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B5E,Erststimme,6,Steglitz-Zehlendorf,5E,Briefwahlbezirk,5,79,W,0,0,0,0,835,835,18,813,205,284,98,29,18,0,77,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B5F,Erststimme,6,Steglitz-Zehlendorf,5F,Briefwahlbezirk,5,79,W,0,0,0,0,618,618,12,606,200,183,62,37,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B5G,Erststimme,6,Steglitz-Zehlendorf,5G,Briefwahlbezirk,5,79,W,0,0,0,0,742,742,16,723,184,215,78,46,28,0,57,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B5H,Erststimme,6,Steglitz-Zehlendorf,5H,Briefwahlbezirk,5,79,W,0,0,0,0,812,812,11,798,212,289,63,40,14,0,95,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B5I,Erststimme,6,Steglitz-Zehlendorf,5I,Briefwahlbezirk,5,79,W,0,0,0,0,544,544,5,536,164,164,55,25,15,0,45,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B6A,Erststimme,6,Steglitz-Zehlendorf,6A,Briefwahlbezirk,6,79,W,0,0,0,0,877,877,12,865,225,257,142,46,11,0,101,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06B6B,Erststimme,6,Steglitz-Zehlendorf,6B,Briefwahlbezirk,6,79,W,0,0,0,0,836,836,10,824,242,199,145,44,16,0,82,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
